vacancy_id,vacancy_name,salary_from,salary_to,salary_currency,salary_gross,address_raw,key_skills
119970695,"Junior python разработчик (Django, Fast API)",40000,60000,RUR,False,"Москва, Мясницкая улица, 24/7с1","Python, PostgreSQL, FastAPI, Git, Django Framework, GitHub, REST API, Оптимизация кода"
119312005,Python Developer,,,,,"Нижний Новгород, улица Пискунова, 29","Python, Django Framework, Git, REST, ООП, СУБД"
120327515,Python разработчик,195000,230000,RUR,True,,"Python, UI, Docker, Elasticsearch"
119787879,Junior Python developer,100000,130000,RUR,False,"Москва, Новоданиловская набережная, 12","Python, Git, PostgreSQL, SQL, Docker"
119404193,Junior+/Middle Python Developer,800,1400,EUR,False,,"Python, PostgreSQL, MySQL, REST API, pandas, Docker, Docker-compose, Debian, Ubuntu, CentOS, CI/CD, Pytest, Unit Testing, Celery, Redis, RabbitMQ, OWASP, SQLAlchemy, JWT, Power BI, Kubernetes, Prometheus, Grafana, Azure"
120297725,Python-разработчик (Django) Junior,60000,,RUR,True,,
119496582,Программист Python junior,100000,100000,RUR,True,"Москва, улица Солянка","Python, Git, Linux, SQL, C, HTML5, CSS, HTTP, TCP/IP"
120241196,Python-разработчик (Junior),50000,,RUR,False,"Нижний Новгород, Окский съезд, 8","Python, MySQL, Redis, Linux, Git, Docker, RabbitMQ"
120314795,Программист Python / Разработчик Python,,,,,"Санкт-Петербург, набережная Обводного канала, 14к3","Обучение и развитие, Разработка инструкций, 1С: Предприятие"
120041031,Junior Python разработчик (команда R&D),,,,,"Санкт-Петербург, Выборгская набережная, 47",
120292881,Python-разработчик,,,,,"Барнаул, Балтийская улица, 20",
80736556,Разработчик Python,30000,80000,RUR,False,"Ростов-на-Дону, Нахичевань, улица 14-я Линия, 55/50","Python, Git, PostgreSQL, Linux, SQL"
119757256,Python-разработчик,250000,300000,RUR,False,"Санкт-Петербург, улица Фучика, 8","Python, SQL, MS SQL"
120308106,Разработчик Python (Стажер),,,,,,"Python, ООП"
119430195,Python Backend Developer,,,,,"Санкт-Петербург, 1 линия, метро Площадь Восстания",
118642955,Python-разработчик,,,,,"Нижний Новгород, Рождественская улица, 6","Python, PostgreSQL, SQL, Аналитика, Базы данных, Аналитическое мышление, Yandex.DataLens, Apache Airflow, Git"
120308107,Разработчик Python (Стажер),,,,,,"Python, ООП"
118572460,Python-разработчик,,570000,RUR,True,,"Python, FastAPI, aiohttp, RabbitMQ, Django, asyncio"
119516520,Python-разработчик,250000,,RUR,False,,"Python, FastAPI, Elasticsearch, Docker, Docker-compose, Docker Swarm, CI/CD, Ansible, Python asyncio, gRPC, API Gateway, GO"
117694116,Backend разработчик (Python DRF),,,,,"Москва, Профсоюзная улица, 76","Python, Git, PostgreSQL, Django Framework, Linux"
120339123,Python разработчик,,,,,"Москва, Садовническая улица, 82с2","Python, API, ML, Семантический анализ"
120338299,Python-разработчик,,,,,"Москва, Вавилова улица, 9",
120311917,Программист-разработчик (Python),,,,,"Москва, Триумфальная площадь, 1","Python, MySQL, PostgreSQL, Django Rest Framework, FastAPI, PHP, Docker, Jenkins"
120317383,Middle Python-разработчик,120000,150000,RUR,False,"Омск, улица Туполева, 6к1",
119250276,Разработчик Python / Middle Python Developer,,,,,,"Python, PostgreSQL, Clickhouse, Greenplum"
102422415,Python-программист Middle,300000,400000,RUR,True,,"Python, Django Framework, FastAPI, MySQL, PostgreSQL, PyAudio, YandexRecognaizer, SIP"
120244800,Python-разработчик,80000,,RUR,False,"Тула, улица Каминского, 24","Python, Linux, SQL, MQTT, REST API, FastAPI, OpenCV"
120231103,Python разработчик Middle/Senior,1000,2500,RUR,False,,"Python, REST API, API, PostgreSQL, SQLAlchemy, Gitlab, Наставничество, Коммуникабельность"
120345556,Junior developer (разработчик Phyton),70000,,RUR,True,,
119884295,"Junior Python developer (back-end, в офис)",60000,,RUR,False,"Новосибирск, улица Николаева, 9/1",
119766911,Python-разработчик,100000,,RUR,True,"Нижний Новгород, Алексеевская улица, 15",
120318585,Middle Backend Разработчик,160000,,RUR,False,,Python
119643596,Python-разработчик,,,,,"Екатеринбург, улица Азина, 24","Python, Git, REST API, VueJS, Django Framework, JavaScript, MySQL"
119864528,"Backend Python Developer (FastAPI, FinTech)",,350000,RUR,False,,"Python, FastAPI, SQL"
120336404,Разработчик,,,,,"Москва, Походный проезд, 4к1",
120249436,Python/Selenium разработчик / Специалист по веб-скрапингу,1000,,USD,True,,
117565527,Python backend developer (FastAPI),160000,220000,RUR,False,,"PostgreSQL, Django Framework, MySQL, Redis, MongoDB, Flask, Scrum, REST, Kubernetes, Docker, InfluxDB, Jenkins, Git, FastAPI"
119641856,Python разработчик,,,,,,"Python, PostgreSQL, FastAPI, Django Framework, Highload, Apache Airflow, Apache Kafka"
117486834,Python Developer,,,,,"Москва, Кутузовский проспект, 32к1","Python, PostgreSQL, RabbitMQ, FastAPI"
118893075,Python Developer,,,,,,
87838855,Разработчик Python,250000,350000,RUR,True,,
120232369,Middle Python разработчик,,,,,,"Python, Математическое моделирование, PostgreSQL, FastAPI, Docker, Git, ООП, CI/CD, SQLAlchemy, pandas, Numpy, Моделирование процессов, Базы данных, Unit Testing, Nginx, Redis"
120225200,Python-разработчик (Middle),,,,,"Москва, Одесская улица, 2кА","Python, FastAPI, Agile, Асинхронное программирование, Git, Redis, Kubernetes, Gitlab, Микросервисная архитектура, API, Aiohttp, ООП, Docker, Docker-compose, REST"
120242174,Python-разработчик (Казань),,,,,"Казань, Чистопольская улица, 11",
119827529,Middle python-разработчик,,250000,RUR,True,,
118503362,Backend-разработчик (Python) junior,,,,,"Томск, проспект Фрунзе, 32А","Python, PostgreSQL, Django Framework, FastAPI"
117284077,Junior Python разработчик Службы планирования (ML),,,,,,
119972541,Data-инженер/Python-разработчик,,,,,"Санкт-Петербург, Большая Московская улица, 1-3","SQL, Тестирование баз данных, Python, ETL, API, Аналитика маркетплейсов"
